name,donated,img,link,cost
100 Pack of Gloves,false,https://images-na.ssl-images-amazon.com/images/I/31tL4B-T1cL._SS135_.jpg,https://www.amazon.com/dp/B00ED3NZSO/ref=cm_sw_r_cp_dp_T2_ILarzbPJDX4M6,$5.50
Universal Rubber Bands,false,https://images-na.ssl-images-amazon.com/images/I/41BoX-2WkJL._SS135_.jpg,https://www.amazon.com/dp/B0007893VM/ref=cm_sw_r_cp_dp_T2_NLarzbJGTDTNS,$6.48
Name Badge Labels,false,https://images-na.ssl-images-amazon.com/images/I/41EH3MjeqyL._SS135_.jpg,https://www.amazon.com/dp/B00BWX4TJ2/ref=cm_sw_r_cp_dp_T2_0Sarzb4YNR96Z,$1.99
1-Gallon White Bucket,false,https://images-na.ssl-images-amazon.com/images/I/61C9OwLFtLL._SL1500_.jpg,https://www.amazon.com/dp/B00BWX4TJ2/ref=cm_sw_r_cp_dp_T2_0Sarzb4YNR96Z,$7.45
